OBJECTID,Lon,Lat,g_number,AREA,PERCENTAGE
2018,146.95590210000,-37.20901489260,224203,0.00692072884,100.00000007500
2019,146.95590210000,-37.20901489260,224206,0.00407699796,58.90995089130
2020,146.95590210000,-37.12576293950,224203,0.00693088404,100.00000090000
2021,146.95590210000,-37.12576293950,224206,0.00249621885,36.01587996560
2022,146.95590210000,-37.04244995120,224203,0.00348719723,50.31388843280
2023,146.95590210000,-37.04244995120,224206,0.00007017498,1.01249688461
2024,146.95590210000,-37.04244995120,403200,0.00344372547,49.68667026630
2025,146.95590210000,-37.04244995120,403230,0.00344372547,49.68667026630
2026,146.95590210000,-37.04244995120,403233,0.00344372547,49.68667026630
2027,146.95590210000,-36.95913696290,403200,0.00693088395,99.99999970000
2028,146.95590210000,-36.95913696290,403205,0.00017078547,2.46412248308
2029,146.95590210000,-36.95913696290,403230,0.00693088395,99.99999970000
2030,146.95590210000,-36.95913696290,403232,0.00002381671,0.34363165948
2031,146.95590210000,-36.95913696290,403233,0.00676009848,97.53587721690
2032,146.95590210000,-36.87585449220,403200,0.00692580640,99.99999988740
2033,146.95590210000,-36.87585449220,403205,0.00413036238,59.63727746490
2034,146.95590210000,-36.87585449220,403230,0.00692580640,99.99999988740
2035,146.95590210000,-36.87585449220,403232,0.00413036238,59.63727746490
2036,146.95590210000,-36.87585449220,403233,0.00279544401,40.36272242260
2037,146.95590210000,-36.79257202150,403200,0.00693088395,99.99999970000
2038,146.95590210000,-36.79257202150,403205,0.00487710362,70.36769973790
2039,146.95590210000,-36.79257202150,403230,0.00693088395,99.99999970000
2040,146.95590210000,-36.79257202150,403232,0.00427990024,61.75114544680
2041,146.95590210000,-36.79257202150,403233,0.00185894893,26.82123866380
2042,146.95590210000,-36.70925903320,403200,0.00693088404,100.00000090000
2043,146.95590210000,-36.70925903320,403205,0.00194565256,28.07221368680
2044,146.95590210000,-36.70925903320,403230,0.00693088404,100.00000090000
2045,146.95590210000,-36.70925903320,403232,0.00000048171,0.00695023736
2046,146.95590210000,-36.62594604490,402206,0.00258670200,37.32138651100
2047,146.95590210000,-36.62594604490,403200,0.00434418196,62.67861318900
2048,146.95590210000,-36.62594604490,403214,0.00278398497,40.16781953000
2049,146.95590210000,-36.62594604490,403230,0.00434418196,62.67861318900
2050,146.95590210000,-36.54263305660,402206,0.00121344546,17.50780226290
2051,146.95590210000,-36.54263305660,403200,0.00429150088,61.91852145150
2052,146.95590210000,-36.54263305660,403214,0.00309590924,44.66831721960
2053,146.95590210000,-36.54263305660,403230,0.00429150088,61.91852145150
2054,146.95590210000,-36.45935058590,402204,0.00017667013,2.55089618722
2055,146.95590210000,-36.45935058590,402213,0.00017667013,2.55089618722
2056,146.95590210000,-36.45935058590,403200,0.00106295580,15.34775500970
2057,146.95590210000,-36.45935058590,403230,0.00106295580,15.34775500970
2058,146.95590210000,-36.37606811520,402204,0.00420285184,60.63947771290
2059,146.95590210000,-36.37606811520,402213,0.00309608240,44.67081557360
2060,146.95590210000,-36.29275512700,402204,0.00077458557,11.17585540860
2061,147.03918457000,-37.95877075200,225201,0.00228137526,32.84378920650
2062,147.03918457000,-37.87545776370,225201,0.00685365717,98.66858604500
2063,147.03918457000,-37.79214477540,225201,0.00694613914,100.00000153700
2064,147.03918457000,-37.79214477540,225218,0.00000233776,0.03365547910
2065,147.03918457000,-37.70883178710,225201,0.00694613906,100.00000033700
2066,147.03918457000,-37.70883178710,225218,0.00178180399,25.65171789700
2067,147.03918457000,-37.70883178710,225223,0.00070951102,10.21446617210
2068,147.03918457000,-37.62554931640,225201,0.00694105033,100.00000052500
2069,147.03918457000,-37.62554931640,225218,0.00204561144,29.47120903150
2070,147.03918457000,-37.62554931640,225223,0.00489543889,70.52879149300
2071,147.03918457000,-37.54226684570,224203,0.00161947801,23.31479404560
2072,147.03918457000,-37.54226684570,224206,0.00071793056,10.33567799700
2073,147.03918457000,-37.54226684570,225201,0.00532666105,76.68520629160
2074,147.03918457000,-37.54226684570,225218,0.00377659562,54.36970952380
2075,147.03918457000,-37.54226684570,225223,0.00155006543,22.31549676780
2076,147.03918457000,-37.45895385740,224203,0.00694613914,100.00000153700
2077,147.03918457000,-37.45895385740,224206,0.00427763633,61.58293563480
2078,147.03918457000,-37.37564086910,224203,0.00694613906,100.00000033700
2079,147.03918457000,-37.37564086910,224206,0.00547058487,78.75720363140
2080,147.03918457000,-37.29229736330,224203,0.00695122779,100.00000015000
2081,147.03918457000,-37.29229736330,224206,0.00018037273,2.59483263990
2082,147.03918457000,-37.20901489260,224203,0.00693596159,100.00000071200
2083,147.03918457000,-37.12576293950,224203,0.00694613914,100.00000153700
2084,147.03918457000,-37.04244995120,224203,0.00468771291,67.48659771070
2085,147.03918457000,-37.04244995120,224213,0.00000487690,0.07021026883
2086,147.03918457000,-37.04244995120,403200,0.00225842615,32.51340262650
2087,147.03918457000,-37.04244995120,403205,0.00005660203,0.81487037437
2088,147.03918457000,-37.04244995120,403230,0.00225842615,32.51340262650
2089,147.03918457000,-37.04244995120,403233,0.00220182412,31.69853225210
2090,147.03918457000,-36.95913696290,403200,0.00694613906,100.00000033700
2091,147.03918457000,-36.95913696290,403205,0.00548803671,79.00844883410
2092,147.03918457000,-36.95913696290,403230,0.00694613906,100.00000033700
2093,147.03918457000,-36.95913696290,403232,0.00000116862,0.01682397492
2094,147.03918457000,-36.95913696290,403233,0.00145810235,20.99155150300
2095,147.03918457000,-36.87585449220,403200,0.00694105033,100.00000052500
2096,147.03918457000,-36.87585449220,403205,0.00694105033,100.00000052500
2097,147.03918457000,-36.87585449220,403230,0.00694105033,100.00000052500
2098,147.03918457000,-36.87585449220,403232,0.00226877855,32.68638683070
2099,147.03918457000,-36.79257202150,403200,0.00694613906,100.00000033700
2100,147.03918457000,-36.79257202150,403205,0.00694613906,100.00000033700
2101,147.03918457000,-36.79257202150,403230,0.00694613906,100.00000033700
2102,147.03918457000,-36.79257202150,403232,0.00202931130,29.21495371750
2103,147.03918457000,-36.70925903320,402206,0.00106045876,15.26688065480
2104,147.03918457000,-36.70925903320,403200,0.00588568039,84.73312088260
2105,147.03918457000,-36.70925903320,403205,0.00556510474,80.11795782540
2106,147.03918457000,-36.70925903320,403230,0.00588568039,84.73312088260
2107,147.03918457000,-36.62594604490,402206,0.00551206894,79.35442862120
2108,147.03918457000,-36.62594604490,403200,0.00001283597,0.18479284580
2109,147.03918457000,-36.62594604490,403230,0.00001283597,0.18479284580
2110,147.03918457000,-36.54263305660,402206,0.00242707687,34.94138047430
2111,147.12249755900,-37.95877075200,225201,0.00194782998,28.08302606630
2112,147.12249755900,-37.87545776370,225201,0.00590255882,85.10070941420
2113,147.12249755900,-37.79214477540,225201,0.00585091844,84.35617932880
2114,147.12249755900,-37.79214477540,225218,0.00397629986,57.32868563640
2115,147.12249755900,-37.70883178710,225201,0.00693596896,99.99999951220
2116,147.12249755900,-37.70883178710,225218,0.00693596896,99.99999951220
2117,147.12249755900,-37.62554931640,224203,0.00031710588,4.57525631103
2118,147.12249755900,-37.62554931640,225201,0.00661378180,95.42474338860
2119,147.12249755900,-37.62554931640,225218,0.00661378180,95.42474338860
2120,147.12249755900,-37.54226684570,224203,0.00506092689,72.96640012960
2121,147.12249755900,-37.54226684570,225201,0.00187504207,27.03359938260
2122,147.12249755900,-37.54226684570,225218,0.00187504207,27.03359938260
2123,147.12249755900,-37.45895385740,224203,0.00693596904,100.00000071300
2124,147.12249755900,-37.37564086910,224203,0.00693596896,99.99999951220
2125,147.12249755900,-37.37564086910,224206,0.00028102549,4.05171208239
2126,147.12249755900,-37.29229736330,224203,0.00694105024,99.99999932510
2127,147.12249755900,-37.20901489260,224203,0.00692580640,99.99999988740
2128,147.12249755900,-37.12576293950,224203,0.00693596904,100.00000071300
2129,147.12249755900,-37.12576293950,224213,0.00046896755,6.76138481362
2130,147.12249755900,-37.04244995120,224203,0.00687732364,99.15447494930
2131,147.12249755900,-37.04244995120,224213,0.00595740133,85.89140652260
2132,147.12249755900,-37.04244995120,403200,0.00005864532,0.84552456294
2133,147.12249755900,-37.04244995120,403205,0.00005864532,0.84552456294
2134,147.12249755900,-37.04244995120,403230,0.00005864532,0.84552456294
2135,147.12249755900,-36.95913696290,224203,0.00081565075,11.75972317880
2136,147.12249755900,-36.95913696290,224213,0.00081565075,11.75972317880
2137,147.12249755900,-36.95913696290,401203,0.00083844903,12.08841958310
2138,147.12249755900,-36.95913696290,403200,0.00347417831,50.08929992850
2139,147.12249755900,-36.95913696290,403205,0.00347417831,50.08929992850
2140,147.12249755900,-36.95913696290,403230,0.00347417831,50.08929992850
2141,147.12249755900,-36.87585449220,403200,0.00446345214,64.39942952130
2142,147.12249755900,-36.87585449220,403205,0.00446345214,64.39942952130
2143,147.12249755900,-36.87585449220,403230,0.00446345214,64.39942952130
2144,147.12249755900,-36.79257202150,403200,0.00352647206,50.84325002360
2145,147.12249755900,-36.79257202150,403205,0.00352647206,50.84325002360
2146,147.12249755900,-36.79257202150,403230,0.00352647206,50.84325002360
2147,147.12249755900,-36.70925903320,402206,0.00002182570,0.31467407420
2148,147.12249755900,-36.70925903320,403200,0.00223998305,32.29517108420
2149,147.12249755900,-36.70925903320,403205,0.00223998305,32.29517108420
2150,147.12249755900,-36.70925903320,403230,0.00223998305,32.29517108420
2151,147.12249755900,-36.62594604490,402206,0.00002695014,0.38855630494
2152,147.20581054700,-37.79214477540,225201,0.00033638541,4.84276816548
2153,147.20581054700,-37.79214477540,225218,0.00033638541,4.84276816548
2154,147.20581054700,-37.70883178710,225201,0.00275203783,39.61967668500
2155,147.20581054700,-37.70883178710,225218,0.00275203783,39.61967668500
2156,147.20581054700,-37.62554931640,224203,0.00564241096,81.29044913460
2157,147.20581054700,-37.62554931640,225201,0.00105464008,15.19424351230
2158,147.20581054700,-37.62554931640,225218,0.00105464008,15.19424351230
2159,147.20581054700,-37.54226684570,224203,0.00694613898,99.99999913770
2160,147.20581054700,-37.45895385740,224203,0.00694613906,100.00000033800
2161,147.20581054700,-37.45895385740,224213,0.00361884460,52.09864900630
2162,147.20581054700,-37.37564086910,224203,0.00694613898,99.99999913770
2163,147.20581054700,-37.37564086910,224213,0.00433643604,62.42944481870
2164,147.20581054700,-37.29229736330,224203,0.00695122771,99.99999895050
2165,147.20581054700,-37.29229736330,224213,0.00339855665,48.89145846790
2166,147.20581054700,-37.20901489260,224203,0.00693596151,99.99999951280
2167,147.20581054700,-37.20901489260,224213,0.00432696375,62.38448302270
2168,147.20581054700,-37.12576293950,224203,0.00694613906,100.00000033800
2169,147.20581054700,-37.12576293950,224213,0.00572776862,82.45974623420
2170,147.20581054700,-37.04244995120,224203,0.00554973121,79.89663289280
2171,147.20581054700,-37.04244995120,224213,0.00554973121,79.89663289280
2172,147.20581054700,-37.04244995120,401203,0.00139640777,20.10336624490
2173,147.20581054700,-36.95913696290,224203,0.00008702386,1.25283790468
2174,147.20581054700,-36.95913696290,224213,0.00008702386,1.25283790468
2175,147.20581054700,-36.95913696290,401203,0.00556278729,80.08459462860
2176,147.20581054700,-36.87585449220,401203,0.00003551645,0.51168698502
2177,147.28909301800,-37.70883178710,224203,0.00173758435,25.07016942550
2178,147.28909301800,-37.62554931640,224203,0.00687796028,99.30916165290
2179,147.28909301800,-37.54226684570,224203,0.00693088395,99.99999970000
2180,147.28909301800,-37.45895385740,224203,0.00693088404,100.00000090000
2181,147.28909301800,-37.45895385740,224213,0.00367025065,52.95501497220
2182,147.28909301800,-37.45895385740,224214,0.00004176350,0.60257100114
2183,147.28909301800,-37.37564086910,224203,0.00693088395,99.99999970000
2184,147.28909301800,-37.37564086910,224213,0.00623930443,90.02176999380
2185,147.28909301800,-37.37564086910,224214,0.00061563253,8.88245330381
2186,147.28909301800,-37.29229736330,224203,0.00693596151,99.99999951280
2187,147.28909301800,-37.29229736330,224213,0.00619352970,89.29590593900
2188,147.28909301800,-37.29229736330,224214,0.00074243181,10.70409357380
2189,147.28909301800,-37.20901489260,224203,0.00692072884,100.00000007500
2190,147.28909301800,-37.20901489260,224213,0.00692072884,100.00000007500
2191,147.28909301800,-37.12576293950,224203,0.00565651946,81.61324710470
2192,147.28909301800,-37.12576293950,224213,0.00565651946,81.61324710470
2193,147.28909301800,-37.12576293950,401203,0.00127436457,18.38675379560
2194,147.28909301800,-37.04244995120,224203,0.00066126977,9.54091527406
2195,147.28909301800,-37.04244995120,224213,0.00066126977,9.54091527406
2196,147.28909301800,-37.04244995120,401203,0.00626961419,90.45908442590
2197,147.28909301800,-36.95913696290,401203,0.00665362126,95.99960527550
2198,147.28909301800,-36.95913696290,401216,0.00085055400,12.27194115540
2199,147.28909301800,-36.87585449220,401203,0.00127948269,18.47413301350
2200,147.28909301800,-36.87585449220,401216,0.00127948269,18.47413301350
2201,147.28909301800,-36.79257202150,401203,0.00361096011,52.09956073640
